Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
50000,1.0867366,210.79237288135593,0.08271666,-0.48037714713205726,-0.48037714713205726,0.024662955,0.023715729,0.0002922985,1.0
100000,1.0792516,256.5412371134021,-0.1579731,-0.3345346301794052,-0.3345346301794052,0.0043498636,0.024659628,0.0002783924,1.0
150000,1.0831974,351.2836879432624,-0.02616219,-0.09468269414195778,-0.09468269414195778,0.0062673786,0.024990998,0.00026292953,1.0
200000,1.0902839,342.5342465753425,0.01106201,-0.09195722764587566,-0.09195722764587566,0.006139129,0.026266268,0.0002475125,1.0
250000,1.089477,345.8125,0.05025435,0.07760296534332964,0.07760296534332964,0.0074729943,0.026162717,0.00023210759,1.0
300000,1.0835794,365.54014598540147,0.08612451,0.09851326635719215,0.09851326635719215,0.0082786875,0.01879335,0.00021667611,1.0
350000,1.0755963,383.5769230769231,0.091855735,0.19835506027134564,0.19835506027134564,0.007734135,0.023332369,0.00020122156,1.0
400000,1.0532736,394.07142857142856,0.11705791,0.19578090342619117,0.19578090342619117,0.006966709,0.025872938,0.00018729389,1.0
450000,1.0415236,366.41911764705884,0.08621378,0.064658859744668,0.064658859744668,0.008090739,0.025617331,0.00017338453,1.0
500000,1.0198294,410.74590163934425,0.12687615,0.40217914417019635,0.40217914417019635,0.0081865005,0.022305656,0.00015796057,1.0
550000,0.99524057,406.1544715447154,0.14618069,0.363243265153189,0.363243265153189,0.008128519,0.025034958,0.00014252195,1.0
600000,0.959976,408.08196721311475,0.16467623,0.4010814211529786,0.4010814211529786,0.008098006,0.021496614,0.00012706082,1.0
650000,0.94492745,384.51162790697674,0.15290104,0.23837236563364664,0.23837236563364664,0.009109837,0.021463338,0.00011159336,1.0
700000,0.94602346,427.9059829059829,0.165303,0.4913242685043404,0.4913242685043404,0.008530631,0.025273124,9.769951e-05,1.0
750000,0.94420624,419.672268907563,0.168346,0.3983100150250086,0.3983100150250086,0.008077321,0.024957953,8.38091e-05,1.0
800000,0.9668459,419.03361344537814,0.15536842,0.4529820474005547,0.4529820474005547,0.007712056,0.024304902,6.835676e-05,1.0
850000,0.9364459,417.175,0.16532373,0.36906996175271123,0.36906996175271123,0.0080445055,0.02488735,5.2903466e-05,1.0
900000,0.9565333,431.6608695652174,0.15386966,0.5210155507164269,0.5210155507164269,0.0077106515,0.024480935,3.7449332e-05,1.0
950000,0.9437669,430.51724137931035,0.18428838,0.5508783754154012,0.5508783754154012,0.0070781843,0.024965106,2.1976835e-05,1.0
1000000,0.9324242,419.38655462184875,0.18988827,0.5125165868456624,0.5125165868456624,0.0073781507,0.023210036,6.5306835e-06,1.0
